Price,Close,High,Low,Open,Volume,MA20,MA50
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,
count,501.0,501.0,501.0,501.0,501.0,482.0,452.0
mean,240.32968706142404,246.1485364993889,234.63458401190783,240.65210253321482,112093671.85628742,237.88244975078155,235.7004393613022
std,55.38528873005958,56.862398364696844,54.33843201285977,55.84226684213633,41341247.65637228,51.160735878079045,46.19266008426955
min,108.0999984741211,111.75,101.80999755859375,103.0,41864700.0,121.33399963378906,150.40379974365234
25%,197.3699951171875,202.8000030517578,192.88999938964844,197.92999267578125,81981600.0,195.04937496185303,191.58000007629394
50%,241.86666870117188,247.13999938964844,236.97666931152344,242.5800018310547,104636600.0,240.2134994506836,244.28339981079102
75%,276.0400085449219,283.3299865722656,270.71331787109375,278.0433349609375,135702700.0,273.4450000762939,264.8247176361084
max,399.9266662597656,402.6666564941406,378.67999267578125,396.51666259765625,306590600.0,347.2191696166992,314.4168005371094
