Price,Close,High,Low,Open,Volume,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
count,501.0,501.0,501.0,501.0,501.0,482.0,452.0
mean,161.12999573058474,162.79358322207744,159.3042034536216,160.97029897396678,73595591.61676647,160.35482585004752,159.296263277172
std,17.727055073405715,17.45940996252647,17.98913576870743,17.75934515689071,25366540.6067948,16.725114382606424,15.36274011900304
min,123.04681396484375,125.75341088924934,122.21023430585915,124.02118700839063,24048300.0,128.87731018066407,136.5705419921875
25%,146.78353881835938,148.3905180514349,144.90718720632282,146.2710719434681,54147100.0,144.59036617279054,144.86232181549073
50%,162.03677368164062,163.23518844762253,159.71467413165345,161.6448765238355,69246000.0,161.41658096313478,157.05405212402343
75%,174.04031372070312,175.52293478970745,172.13266274999066,174.0133871781769,86709100.0,173.3494602203369,174.6948035430908
max,196.07308959960938,197.56755876987646,194.9745190512041,195.9840185786185,182602000.0,192.31067810058593,185.02618103027345
