Ticker
SOFI
PLTR
RIVN
LCID
OPEN
RKLB
HOOD
AFRM
BB
SNAP
PINS
CHPT
ASTS
IONQ
RUN
UPST
QS
BLNK
MVIS
CLOV
MARA
RIOT
SOUN
HIMS
CVNA
JOBY
SPCE
BBAI
ACHR
